FECHA (YYMMDD);HORA (HHMM);;
140208;1200;26,8333;
140208;1300;28,7083;
140208;1400;29,9;
140208;1500;30,6083;
140208;1600;30,575;
140208;1700;30,7583;
140208;1800;29,875;
140208;1900;28,375;
140208;2000;25,9;
140208;2100;23,8417;
140208;2200;22,5;
140208;2300;21,6083;
140209;0000;20,9333;
140209;0100;20,3833;
140209;0200;19,7417;
140209;0300;19,0917;
140209;0400;18,6083;
140209;0500;17,6917;
140209;0600;17,1417;
140209;0700;16,775;
140209;0800;19,0667;
140209;0900;21,525;
140209;1000;24,6167;
140209;1100;26,75;
140209;1200;28,475;
140209;1300;29,9583;
140209;1400;31,2667;
140209;1500;32,5;
140209;1600;32,55;
140209;1700;32,4916;
140209;1800;31,2333;
140209;1900;29,2167;
140209;2000;26,4333;
140209;2100;24,1333;
140209;2200;23,15;
140209;2300;22,6583;
140210;0000;22,0667;
140210;0100;21,55;
140210;0200;21,0083;
140210;0300;20,3417;
140210;0400;19,2583;
140210;0500;18,2333;
140210;0600;17,9083;
140210;0700;17,85;
140210;0800;20,2833;
140210;0900;22,7917;
140210;1000;24,5167;
140210;1100;25,9583;
140210;1200;27,8083;
140210;1300;28,9917;
140210;1400;30,7;
140210;1500;31,25;
140210;1600;30,2666;
140210;1700;29,55;
140210;1800;29,4333;
140210;1900;27,2417;
140210;2000;24,1583;
140210;2100;22,325;
140210;2200;20,8917;
140210;2300;19,4167;
140211;0000;18,5083;
140211;0100;17,9833;
140211;0200;17,2417;
140211;0300;16,65;
140211;0400;15,65;
140211;0500;15,4917;
140211;0600;15,475;
140211;0700;15,1417;
140211;0800;17,1917;
140211;0900;20,05;
140211;1000;22,075;
140211;1100;24,8167;
140211;1200;27,6417;
140211;1300;29,925;
140211;1400;31,1083;
140211;1500;;
140211;1600;32,825;
140211;1700;32,4416;
140211;1800;31,6833;
140211;1900;30,5167;
140211;2000;27,22;
140211;2100;25,1583;
140211;2200;23,9636;
140211;2300;;
140212;0000;22,5417;
140212;0100;21,5667;
140212;0200;20,925;
140212;0300;20,175;
140212;0400;19,7333;
140212;0500;19,4;
140212;0600;18,9916;
140212;0700;18,8583;
140212;0800;21,6583;
140212;0900;24,2417;
140212;1000;26,7667;
140212;1100;29,1583;
140212;1200;31,0417;
140212;1300;33,1333;
140212;1400;34,5916;
140212;1500;34,4333;
140212;1600;34,3583;
140212;1700;33,3583;
140212;1800;32,2916;
140212;1900;30,65;
140212;2000;27,75;
140212;2100;25,3667;
140212;2200;;
140212;2300;;
140213;0000;;
140213;0100;;
140213;0200;;
140213;0300;;
140213;0400;;
140213;0500;;
140213;0600;;
140213;0700;;
140213;0800;;
140213;0900;;
140213;1000;;
140213;1100;;
140213;1200;;
140213;1300;;
140213;1400;31,4167;
140213;1500;31,025;
140213;1600;29,725;
140213;1700;28,2917;
140213;1800;27,725;
140213;1900;25,9083;
140213;2000;23,1667;
140213;2100;21,0583;
140213;2200;20,025;
140213;2300;18,675;
140214;0000;17,475;
140214;0100;16,3;
140214;0200;15,6;
140214;0300;15,4667;
140214;0400;15,6083;
140214;0500;15,9833;
140214;0600;15,9167;
140214;0700;15,65;
