FECHA (YYMMDD);HORA (HHMM);;
140218;0300;12,9417;
140218;0400;12,2583;
140218;0500;11,9583;
140218;0600;11,9417;
140218;0700;11,8667;
140218;0800;12,4833;
140218;0900;15,5417;
140218;1000;18,6833;
140218;1100;20,9333;
140218;1200;22,7583;
140218;1300;25,75;
140218;1400;26,9083;
140218;1500;27,2417;
140218;1600;27,125;
140218;1700;27,25;
140218;1800;26,8083;
140218;1900;25,6583;
140218;2000;22,625;
140218;2100;20,3;
140218;2200;18,4917;
140218;2300;17,3;
140219;0000;16,675;
140219;0100;15,875;
140219;0200;15,1583;
140219;0300;14,325;
140219;0400;13,4833;
140219;0500;13,1167;
140219;0600;12,975;
140219;0700;13,1917;
140219;0800;15,9083;
140219;0900;18,6417;
140219;1000;21,5;
140219;1100;24,3583;
140219;1200;27,6917;
140219;1300;28,7167;
140219;1400;29,625;
140219;1500;30,175;
140219;1600;30,2;
140219;1700;29,6583;
